Institute,Branch,category,gen,mews,fews,mobc,fobc,msc,fsc,mst,fst
"Techno India NJR Institute of Technology, Udaipur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Techno India NJR Institute of Technology, Udaipur",ELECTRONICS AND COMM.(SFS),SFS,10419,-1,-1,-1,-1,-1,-1,-1,-1
"Techno India NJR Institute of Technology, Udaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Techno India NJR Institute of Technology, Udaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,7932,1049,-1,2220,-1,-1,-1,-1,-1
"Shri Bhawani Niketan Inst. of Tech. and Management, Jaipur",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Shri Bhawani Niketan Inst. of Tech. and Management, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Shri Bhawani Niketan Inst. of Tech. and Management, Jaipur",ELECTRONICS  AND  COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Shri Bhawani Niketan Inst. of Tech. and Management, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Shri Bhawani Niketan Inst. of Tech. and Management, Jaipur",COMPUTER SCIENCE AND ENGINEERING (SFS),SFS,10416,1420,-1,-1,-1,-1,-1,-1,0
"Chartered Institute of Technology, Abu Road, Sirohi",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Chartered Institute of Technology, Abu Road, Sirohi",ELECTRICAL ENGINEERING(SFS),SFS,10187,-1,-1,-1,-1,-1,-1,-1,-1
"Chartered Institute of Technology, Abu Road, Sirohi",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Chartered Institute of Technology, Abu Road, Sirohi",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Chartered Institute of Technology, Abu Road, Sirohi",COMPUTER SCIENCE & ENGG.(SFS),SFS,10540,-1,-1,-1,-1,-1,-1,-1,-1
"Rajasthan Institute of Engg. and Technology, Chittorgarh",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Rajasthan Institute of Engg. and Technology, Chittorgarh",COMPUTER ENGINEERING(SFS),SFS,8898,-1,-1,-1,-1,-1,-1,-1,0
"Rajasthan Institute of Engg. and Technology, Chittorgarh",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Rajasthan Institute of Engg. and Technology, Chittorgarh",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Rajasthan Institute of Engg. and Technology, Chittorgarh",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Shree Digambar Inst. of Technology, Mitrapura, Dausa",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Shree Digambar Inst. of Technology, Mitrapura, Dausa",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Shree Digambar Inst. of Technology, Mitrapura, Dausa",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Shree Digambar Inst. of Technology, Mitrapura, Dausa",COMPUTER SCIENCE & ENGG.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Manda Institute of Technology, Bikaner",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Manda Institute of Technology, Bikaner",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Manda Institute of Technology, Bikaner",ELECTRONICS AND COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Manda Institute of Technology, Bikaner",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Manda Institute of Technology, Bikaner",COMPUTER SCIENCE & ENGG.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"St. Wilfred s Institute of Engineering and Technology, Ajmer",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"St. Wilfred s Institute of Engineering and Technology, Ajmer",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"St. Wilfred s Institute of Engineering and Technology, Ajmer",MECHANICAL ENGINEERING(SFS),SFS,10418,-1,-1,-1,-1,-1,-1,-1,-1
"St. Wilfred s Institute of Engineering and Technology, Ajmer",COMPUTER SCIENCE & ENGG.(SFS),SFS,10542,1418,-1,2754,-1,767,-1,-1,0
"Shekhawati Inst. of Engg. and Technology, Sikar",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Shekhawati Inst. of Engg. and Technology, Sikar",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Shekhawati Inst. of Engg. and Technology, Sikar",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Shekhawati Inst. of Engg. and Technology, Sikar",AGRICULTURE(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Shekhawati Inst. of Engg. and Technology, Sikar",COMPUTER SCIENCE & ENGG.(SFS),SFS,10398,-1,-1,-1,-1,-1,-1,-1,-1
"Raj Engineering College, Jodhpur",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Raj Engineering College, Jodhpur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Raj Engineering College, Jodhpur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Raj Engineering College, Jodhpur",MINING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Surendra Group of Institutions, Sriganganagar",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Surendra Group of Institutions, Sriganganagar",ELECTRICAL AND ELECTRONICS (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Surendra Group of Institutions, Sriganganagar",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Surendra Group of Institutions, Sriganganagar",COMPUTER SCIENCE ENGG.(SFS),SFS,10439,-1,-1,3068,-1,-1,-1,-1,0
"Jaipur Institute of Technology, Group of Institutions, Jaipur",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Jaipur Institute of Technology, Group of Institutions, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Jaipur Institute of Technology, Group of Institutions, Jaipur",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Jaipur Institute of Technology, Group of Institutions, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Jaipur Institute of Technology, Group of Institutions, Jaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,10304,-1,-1,-1,-1,764,-1,-1,-1
"Rajdhani Engineering College, Jaipur",CIVIL ENGINEERING(SFS),SFS,10372,-1,-1,-1,-1,998,-1,-1,-1
"Rajdhani Engineering College, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,10369,-1,-1,-1,-1,979,-1,-1,-1
"Rajdhani Engineering College, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,10326,-1,-1,-1,-1,990,-1,513,-1
"Rajdhani Engineering College, Jaipur",COMPUTER SCIENCE & ENGINEERING(ARTIFICIAL INTELLIG,SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dr. Radhakrishnan Institute of Technology, Jaipur",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dr. Radhakrishnan Institute of Technology, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dr. Radhakrishnan Institute of Technology, Jaipur",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Dr. Radhakrishnan Institute of Technology, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dr. Radhakrishnan Institute of Technology, Jaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Maharani Girls Engineering College, Jaipur",CIVIL ENGINEERING(SFS),SFS,0,0,-1,0,-1,0,-1,0,-1
"Maharani Girls Engineering College, Jaipur",ELECTRONICS & COMM.(SFS),SFS,0,0,-1,0,-1,0,-1,0,-1
"Maharani Girls Engineering College, Jaipur",ELECTRICAL & ELECTRONICS(SFS),SFS,0,0,-1,0,-1,0,-1,0,-1
"Maharani Girls Engineering College, Jaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,0,0,-1,0,401,0,-1,0,-1
"Rajasthan Engineering College, Dausa",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Rajasthan Engineering College, Dausa",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Rajasthan Engineering College, Dausa",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"CLG Institute of Engg. and Technology, Sumerpur, Pali",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"CLG Institute of Engg. and Technology, Sumerpur, Pali",ELECTRICAL ENGINEERING(SFS),SFS,10434,-1,-1,-1,-1,-1,-1,-1,0
"CLG Institute of Engg. and Technology, Sumerpur, Pali",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"CLG Institute of Engg. and Technology, Sumerpur, Pali",COMPUTER SCIENCE & ENGG.(SFS),SFS,10454,-1,-1,2791,-1,1059,-1,-1,0
"Nathdwara Inst. of Engg. and Tech., Nathdwara, Rajsamand",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Aryabhatta College of Engg. and Research Center, Ajmer",CIVIL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Aryabhatta College of Engg. and Research Center, Ajmer",ELECTRICAL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Aryabhatta College of Engg. and Research Center, Ajmer",MECHANICAL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Aryabhatta College of Engg. and Research Center, Ajmer",COMPUTER SCIENCE & ENGG.(SFS),SFS,9562,-1,-1,2562,-1,692,169,440,-1
"Anand International College of Engineering, Jaipur",CIVIL ENGINEERING(SFS),SFS,9981,-1,-1,-1,-1,-1,-1,-1,-1
"Anand International College of Engineering, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Anand International College of Engineering, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Anand International College of Engineering, Jaipur",COMPUTER SCIENCE AND ENGINEERING (SFS),SFS,7239,1310,388,2230,-1,923,-1,337,-1
"Anand International College of Engineering, Jaipur",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLI,SFS,10536,-1,-1,-1,-1,-1,-1,383,-1
"BLM Institute of Tech. and Management Sc., Khetri, Jhunjhunu",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"BLM Institute of Tech. and Management Sc., Khetri, Jhunjhunu",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"BLM Institute of Tech. and Management Sc., Khetri, Jhunjhunu",ELECTRONICS  AND  COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"BLM Institute of Tech. and Management Sc., Khetri, Jhunjhunu",COMPUTER SCIENCE AND ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Northern Institutute of Engg. and Technical Campus, Alwar",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Northern Institutute of Engg. and Technical Campus, Alwar",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Northern Institutute of Engg. and Technical Campus, Alwar",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Northern Institutute of Engg. and Technical Campus, Alwar",COMPUTER SCIENCE & ENGG.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Pratap Institutute of Technology and Science, Sikar",CIVIL ENGINEERING(SFS),SFS,10458,-1,-1,-1,-1,-1,-1,-1,-1
"Pratap Institutute of Technology and Science, Sikar",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Pratap Institutute of Technology and Science, Sikar",ELECTRONICS AND COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Pratap Institutute of Technology and Science, Sikar",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Pratap Institutute of Technology and Science, Sikar",COMPUTER SCIENCE & ENGG.(SFS),SFS,9942,-1,-1,-1,-1,-1,-1,413,-1
"Vedic Gurukul Institute of Engg. and Technology, Jaipur",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Vedic Gurukul Institute of Engg. and Technology, Jaipur",COMPUTER ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Vedic Gurukul Institute of Engg. and Technology, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Vedic Gurukul Institute of Engg. and Technology, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Vedic Gurukul Institute of Engg. and Technology, Jaipur",ELECTRICAL AND COMPUTER ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"School of Aeronautics Neemrana, Alwar",MECHATRONICS(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"School of Aeronautics Neemrana, Alwar",AERONAUTICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"School of Aeronautics Neemrana, Alwar",AERONAUTICAL ENGG.II SHIFT)(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Sawai Madhopur College of Engg. and Technology, Sawai Madhopur",CIVIL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Sawai Madhopur College of Engg. and Technology, Sawai Madhopur",ELECTRICAL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Sawai Madhopur College of Engg. and Technology, Sawai Madhopur",ELECTRONICS AND COMMUNICATION ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Sawai Madhopur College of Engg. and Technology, Sawai Madhopur",MECHANICAL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Sawai Madhopur College of Engg. and Technology, Sawai Madhopur",COMPUTER SCIENCE AND ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Government Engineering College, Banswara",CIVIL ENGINEERING(SFS),SFS,10547,-1,-1,-1,-1,-1,-1,439,-1
"Government Engineering College, Banswara",ELECTRICAL ENGINEERING(SFS),SFS,10120,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Banswara",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Banswara",COMPUTER SCIENCE & ENGG.(SFS),SFS,8474,1387,-1,1972,-1,-1,-1,535,-1
"Bal Krishna Institute of Technology, Kota",AUTOMOBILE ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Bal Krishna Institute of Technology, Kota",CIVIL ENGINEERING (SFS),SFS,10546,-1,-1,-1,-1,-1,-1,-1,0
"Bal Krishna Institute of Technology, Kota",ELECTRICAL ENGINEERING (SFS),SFS,10019,-1,-1,-1,-1,1056,-1,-1,0
"Bal Krishna Institute of Technology, Kota",MECHANICAL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Bal Krishna Institute of Technology, Kota",COMPUTER SCIENCE AND ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Mahaveer Institute of Technology and Science, Jadan, Pali",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Mahaveer Institute of Technology and Science, Jadan, Pali",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Mahaveer Institute of Technology and Science, Jadan, Pali",COMPUTER SCIENCE & ENGG.(SFS),SFS,8517,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Baran",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Baran",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Baran",ELECTRONICS AND COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Baran",COMPUTER SCIENCE & ENGG.(SFS),SFS,9312,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Dholpur",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Dholpur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Dholpur",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Dholpur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Karauli",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Karauli",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Karauli",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Karauli",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Karauli",COMPUTER SCIENCE & ENGG.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Barmer",CIVIL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Barmer",ELECTRICAL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Barmer",ELECTRONICS AND COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Government Engineering College, Barmer",MECHANICAL ENGINEERING (SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Government Engineering College, Barmer",PETROLEUM ENGINEERING (SFS),SFS,10506,-1,-1,-1,-1,-1,-1,-1,-1
"Government Engineering College, Barmer",CHEMICAL ENGINEERING (SFS),SFS,10291,1650,-1,-1,-1,-1,-1,-1,0
"Government Engineering College, Barmer",COMPUTER SCIENCE & ENGINEERING(ARTIFICIAL INTELLIG,SFS,7763,1351,-1,1513,-1,-1,-1,-1,0
"CIPET Institute of Plastics Technology , Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CIPET Institute of Plastics Technology , Jaipur",PETRO CHEMICAL(SFS),SFS,8971,-1,-1,-1,-1,-1,-1,-1,0
"CIPET Institute of Plastics Technology , Jaipur",PLASTIC TECHNOLOGY(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mohanlal Sukhadia University,CIVIL ENGINEERING(SFS),SFS,10485,-1,-1,-1,-1,-1,-1,-1,-1
Mohanlal Sukhadia University,ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mohanlal Sukhadia University,ELECTRONICS  AND  COMM.(SFS),SFS,10389,-1,-1,-1,-1,-1,-1,-1,-1
Mohanlal Sukhadia University,MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mohanlal Sukhadia University,COMPUTER SCIENCE & ENGG.(SFS),SFS,3521,618,146,1096,398,1080,-1,80,-1
Faculty of Agriculture Engineering,AGRICULTURE ENGINEERING(SFS),SFS,-1,-1,0,-1,-1,-1,-1,-1,0
Faculty of Agriculture Engineering,AGRICULTURE ENGINEERING(GAS),GAS,10529,-1,-1,2529,-1,-1,-1,-1,0
